tweet;;;;;;;;;;;;;;;;;;;;;;;near;geo;source;user_rt_id;user_rt;retweet_id;reply_to;retweet_date;translate;trans_src;trans_dest
Ingat tidak ada satupun orang yang kebal terhadap virus korona ini, tolong selalu disiplin menerapkan protokol kesehatan pencegahan penularan Covid-19.  Jaga diri sendiri, Lindungi negeri. Semoga pandemi segera berakhir.  #PakaiMasker #JagaJarak #BersatuLawanCovid19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Waspada, tetap waspada Covid-19  #bersatulawancovid19 #kawalcovid19 #indonesia #pakaimasker  https://t.co/uKwKrWXknm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Kerumunan orang dalam jumlah banyak berpotensi menularkan Covid-19. Hal ini menunjukkan penularan Covid-19 masih terjadi. #ingatpesanibu #cucitangan #pakaimasker #jagajarak   https://t.co/SO5IqUyUvF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Kamu udah #pakaimasker hari ini? Jangan lupa ya, supaay kita bisa bersama-sama #lawancovid19. Yuk, dukung juga gerakan-gerakan terkait di  https://t.co/ZXkdioKQPd, ya!  https://t.co/Dr2nVQEqJC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Pakai Masker tapi tak di pakai 🤷‍♀️  Bagaimana mau selamat kalo masih abai 😒  Suka ga suka Virus Corona masih ada 🙂  Pakai selalu masker jangan kasih kendor 💪😃  #VirusCorona #coronavirus #Dirumahsaja #pakaimasker;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Masker dan vitamin merupakan salah satu cara untuk terhindar dari penyakit. Semoga sehat selalu saudaraku, silessurengku...🤲🤲🤲 #wajoaman #wajobermasker #bugis #anginmamiri #danautempe #kotasantri #kotasutera #pakaimasker #KesehatanPulihEkonomiBangkit #amangwanuwaenamalomodalle  https://t.co/U61pA7FyKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
@elphiasdogdog matahari aja pake masker, masa kamu engga? ayo pakai masker #pakaimasker;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[{'screen_name': 'elphiasdogdog', 'name': 'Kungpaw', 'id': '1079942134956843008'}];;;;
Ruangan sempit, ramai dan tertutup tingkatkan risiko penularan COVID-19 pakai masker saat satu ruangan dengan orang lain meskipun pengap. Jika harus keluar rumah, #PakaiMasker #JagaJarak #CuciTanganPakaiSabun.   -  https://t.co/ESqZAeUErX -;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Yo ayo pakai masker!  #WearAMask #PakaiMasker;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
anyway rek, jangan bosen-bosen untuk tetap #pakaimasker;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Jika sekitar 70% orang memakai masker bedah, COVID-19 secara efektif akan 'diberantas', menurut sebuah studi baru. Studi tersebut juga menyatakan bahwa bahkan masker kain dapat mengurangi virus secara signifikan jika dikenakan dengan rasio yang sama.  #pakaimasker 😷;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
@ikanatassa Kubisa kak,bahkan ngantor ku pakai masker medis dan lapis dengan masker kain #pakaimasker #indonesiabisasehat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[{'screen_name': 'ikanatassa', 'name': 'Ika Natassa', 'id': '19799211'}];;;;
Pecah rekor lagi hari ini (Minggu 29.11.2020) diumumkan kenaikan harian positif covid-19 tertinggi sebanyak 6.267 kasus, sehingga total kasus positif = 534.266 kasus.  #PakaiMasker #JagaKesehatan #CuciTanganPakaiSabun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
